ID,Control,Control,Salt,Salt
gene-LOC112081467,0,0,0,0
gene-LOC112081468,6.476957,3.408632,1.74897,4.106246
gene-LOC112081469,0.364864,0,0.651402,0.912962
gene-LOC112081470,1.824318,3.120275,12.637861,11.808568
gene-LOC112081471,1.239446,0.86834,0.028955,1.651959
gene-LOC112081472,15.379306,13.38781,19.660027,17.620137
gene-LOC112081473,1.102392,0.860257,0.603586,0.263346
gene-LOC112081474,1.111431,0,0.967233,0.922326
gene-LOC112081475,0,0,0,0
gene-LOC112081476,26.1613,25.429057,26.534282,18.157525
gene-LOC112081477,20.705284,11.571342,0.669105,5.691875
gene-LOC112081478,0,0.464282,2.392429,0.226704
gene-LOC112081479,4.145963,4.880415,2.448186,5.313367
gene-LOC112081480,12.748006,7.023988,1.392904,7.244005
gene-LOC112081481,1.977832,1.827492,1.292318,1.237562
gene-LOC112081482,33.541258,32.448079,11.965105,18.628132
gene-LOC112081483,5.636425,5.433455,3.810061,5.035634
gene-LOC112081484,0,0,0,0
gene-LOC112081486,0,0,0,0
gene-LOC112081487,0,0,0,0
gene-LOC112081488,0,0,0,0
gene-LOC112081489,0,0,0,0
gene-LOC112081490,7.52025,10.085516,5.951378,15.006936
gene-LOC112081491,0.508031,0.952859,2.065903,0.406096
gene-LOC112081492,0,0,0,0
gene-LOC112081493,0,0,0,0
gene-LOC112081494,0,0,0,0
gene-LOC112081495,0,0,0,0
gene-LOC112081496,0,0,0,0
gene-LOC112081497,0,0,0,0
gene-LOC112081498,0,0,0,0
gene-LOC112081499,0.325177,0,0,0
gene-LOC112081500,0,0,0,0
gene-LOC112081501,0,0,0,0
gene-LOC112081502,10.851488,12.111016,4.089379,4.017204
gene-LOC112081504,0,0,0,0
gene-LOC112081506,0,0,0,0
gene-LOC112081507,0,0,0,0
gene-LOC112081508,0,0,0,0
gene-LOC112081509,0,0,0,0
gene-LOC112081510,0,0,0,0
gene-LOC112081511,0,0,0,0
gene-LOC112081512,0,0,0,0
gene-LOC112081514,0,0,0,0
gene-LOC112081516,0,0,0,0
gene-LOC112081518,0,0,0,0
gene-LOC112081519,0,0,0,0
gene-LOC112081520,0,0,0,0
gene-LOC112081522,0,0,0,0.072921
gene-LOC112081523,0,0,0,0
gene-LOC112081524,0,0,0,0
gene-LOC112081525,0,0,0,0
gene-LOC112081526,0,0,0,0
gene-LOC112081527,0,0,0,0
gene-LOC112081528,0,0.157221,0.484831,0.154921
gene-LOC112081529,0,0,0,0
gene-LOC112081530,0,0,0,0
gene-LOC112081531,0,0,0,0
gene-LOC112081532,0,0.361934,0.186478,0
gene-LOC112081534,0,0,0,0
gene-LOC112081535,0,0,0,0
gene-LOC112081536,0,0,0,0
gene-LOC112081537,0,0,0,0
gene-LOC112081539,0,0,0,0
gene-LOC112081540,0,0,0.049986,0
gene-LOC112081541,0,0,0,0
gene-LOC112081542,0,0,0,0
gene-LOC112081543,0,0,0,0
gene-LOC112081544,0.08068,0.061309,0.126619,0.240978
gene-LOC112081546,0,0,0,0
gene-LOC112081547,0,0,0,0
gene-LOC112081548,0,0,0,0
gene-LOC112081549,0.125763,0.434983,0.560053,0.535434
gene-LOC112081550,0,0,0,0
gene-LOC112081552,0.115477,0,0,0
gene-LOC112081553,0.170787,0,0,0.142883
gene-LOC112081554,0.032463,0.027614,0.143018,0.080836
gene-LOC112081555,0,0,0,0
gene-LOC112081556,0,0,0,0
gene-LOC112081557,0,0,0,0
gene-LOC112081558,0,0,0,0
gene-LOC112081559,0.154747,0.066839,0,0.329067
gene-LOC112081562,0,0,0,0
gene-LOC112081563,0,0,0,0
gene-LOC112081565,0,0,0,0
gene-LOC112081566,2.918909,0,0.325701,1.217283
gene-LOC112081567,0,0,0,0
gene-LOC112081568,0,0,0,0
gene-LOC112081569,2.934374,2.590659,1.560685,3.535264
gene-LOC112081574,0,0,0,0
gene-LOC112081576,0,0,0.097361,0
gene-LOC112081578,1.656465,1.194598,0,1.646965
gene-LOC112081579,0,0,0,0
gene-LOC112081580,1.196557,0.873763,0.081847,0.156395
gene-LOC112081581,0.437648,0.268989,0,0.211636
gene-LOC112081582,0,0,0,0
gene-LOC112081583,0,0,0,0
gene-LOC112081584,1.758635,1.972848,0.649809,0.994544
gene-LOC112081585,0,0,0,0
gene-LOC112081586,0,0,0,0
gene-LOC112081587,0,0,0,0
gene-LOC112081588,0,0,0,0
gene-LOC112081589,0,0,0,0
gene-LOC112081590,0,0,0,0
gene-LOC112081591,0.199104,0,0,0
gene-LOC112081592,0,0,0,0
gene-LOC112081593,0,0,0,0
gene-LOC112081594,1.164321,1.630389,1.056406,0.880988
gene-LOC112081595,0,0.079951,0,0
gene-LOC112081597,0,0,0,0
gene-LOC112081598,0.079781,0,0,0
gene-LOC112081599,0,0,0,0
gene-LOC112081600,25.949963,69.967645,43.264974,34.957522
gene-LOC112081601,0,0,0,0
gene-LOC112081602,0,0.217557,0,0
gene-LOC112081604,0.378797,0.322319,0.940927,0
gene-LOC112081605,0,0,0,0
gene-LOC112081606,0.330893,0.142068,0.073366,0
gene-LOC112081607,0.519776,0.472344,0.894989,1.210965
gene-LOC112081608,0,0,0,0
gene-LOC112081609,0,0,0,0
gene-LOC112081610,0,0,0,0
gene-LOC112081611,0,0,0,0.072765
gene-LOC112081613,0,0,0,0
gene-LOC112081615,0.19901,0,0.087734,0.414511
gene-LOC112081617,0,0,0,0
gene-LOC112081618,0,0,0,0
gene-LOC112081619,0,0,0.43572,0
gene-LOC112081620,0,0.2161,0.886003,0.639044
gene-LOC112081621,0,0,0,0
gene-LOC112081622,0,0,0,0
gene-LOC112081624,8.457468,7.838872,6.1954,6.67572
gene-LOC112081625,0,0,0,0
gene-LOC112081626,7.452729,8.10177,20.110252,13.914707
gene-LOC112081627,19.154077,17.526529,11.944026,12.131022
gene-LOC112081628,0.169736,0,0,0.070903
gene-LOC112081629,4.342475,4.388846,2.428597,3.276021
gene-LOC112081630,2.484271,0.612873,6.280117,4.507217
gene-LOC112081631,0,0,0,0
gene-LOC112081632,1.432162,2.471265,0.529943,1.112993
gene-LOC112081633,1.245569,0.532599,0,0.516821
gene-LOC112081634,1.498348,1.159702,1.078903,1.13075
gene-LOC112081635,0,0,0,0
gene-LOC112081636,0,0,0,0
gene-LOC112081637,1.07014,0.846179,0.072861,0.415462
gene-LOC112081638,1.144216,1.57924,0.913464,2.611413
gene-LOC112081639,0,0,0,0
gene-LOC112081640,0,0,0,0.077939
gene-LOC112081641,0,0,0.619781,0.58205
gene-LOC112081642,0,0,3.588179,1.132231
gene-LOC112081643,131.433301,201.263384,194.152521,177.000768
gene-LOC112081644,0,0,0,0
gene-LOC112081645,226.183996,103.961495,121.007736,232.255266
gene-LOC112081646,0,0,0,0
gene-LOC112081647,0.072729,0.191295,0.065244,0.094557
gene-LOC112081648,0,0,0,0
gene-LOC112081649,0,0,0,0
gene-LOC112081650,0,0,0,0
gene-LOC112081651,0,0,0,0
gene-LOC112081655,0,0,0,0
gene-LOC112081656,0,0,0,0
gene-LOC112081659,0,0,0,0
gene-LOC112081661,0,0,0,0
gene-LOC112081664,0,0,0,0
gene-LOC112081665,0,0,0,0
gene-LOC112081666,0,0,0,0
gene-LOC112081668,0,0,0,0
gene-LOC112081669,0,0,0,0
gene-LOC112081670,0,0,0,0
gene-LOC112081672,0,0,0,0
gene-LOC112081673,0,0,0,0
gene-LOC112081675,0,0,0,0
gene-LOC112081676,0,0,0,0
gene-LOC112081677,0,0,0,0
gene-LOC112081678,0,0,0,0
gene-LOC112081683,0,0,0,0
gene-LOC112081688,0,0,0,0
gene-LOC112081695,0,0,0,0
gene-LOC112081697,0,0,0,0
gene-LOC112081698,0,0,0,0
gene-LOC112081699,0,0,0,0
gene-LOC112081701,0,0,0,0
gene-LOC112081703,0,0,0,0
gene-LOC112081704,0,0,0,0
gene-LOC112081706,0,0,0,0
gene-LOC112081707,0,0,0,0
gene-LOC112081708,0,0,0,0
gene-LOC112081711,0,0,0,0
gene-LOC112081712,0,0,0,0
gene-LOC112081713,0,0,0,0
gene-LOC112081715,0,0,0,0
gene-LOC112081716,0,0,0,0
gene-LOC112081717,0,0,0,0
gene-LOC112081718,0,0,0,0
gene-LOC112081720,0,0,0,0
gene-LOC112081722,0,0,0,0
gene-LOC112081723,0,0,0,0
gene-LOC112081727,0,0,0,0
gene-LOC112081729,0,0,0,0
gene-LOC112081730,0,0,0,0
gene-LOC112081731,0,0,0,0
gene-LOC112081733,0,0,0,0
gene-LOC112081734,0,0,0,0
gene-LOC112081735,0,0,0,0
gene-LOC112081737,0,0,0,0
gene-LOC112081738,0,0,0,0
gene-LOC112081739,0,0,0,0
gene-LOC112081740,0,0,0,0
gene-LOC112081742,0,0,0,0
gene-LOC112081743,0,0,0,0
gene-LOC112081744,0,0,0,0
gene-LOC112081747,0,0,0,0
gene-LOC112081748,0,0,0,0
gene-LOC112081749,0,0,0,0
gene-LOC112081750,0,0,0,0
gene-LOC112081751,0,0,0,0
gene-LOC112081752,0,0,0,0
gene-LOC112081753,0,0,0,0
gene-LOC112081754,0,0,0,0
gene-LOC112081755,0,0,0,0
gene-LOC112081756,0,0,0,0
gene-LOC112081757,0,0,0,0
gene-LOC112081758,0,0,0,0
gene-LOC112081759,0,0,0,0
gene-LOC112081760,0,0,0,0
gene-LOC112081761,0,0,0,0
gene-LOC112081762,0,0,0,0
gene-LOC112081763,0,0,0,0
gene-LOC112081764,0,0,0,0
gene-LOC112081765,0,0,0,0
gene-LOC112081767,0,0,0,0
gene-LOC112081768,0,0,0,0
gene-LOC112081769,0,0,0,0
gene-LOC112081770,0,0,0,0
gene-LOC112081771,0,0,0,0
gene-LOC112081775,0,0,0,0
gene-LOC112081779,0,0,0,0
gene-LOC112081781,0,0,0,0
gene-LOC112081782,0,0,0,0
gene-LOC112081784,0,0,0,0
gene-LOC112081785,0,0,0,0
gene-LOC112081786,0,0,0,0
gene-LOC112081788,0,0,0,0
gene-LOC112081789,0,0,0,0
gene-LOC112081790,0,0,0,0
gene-LOC112081791,0,0,0,0
gene-LOC112081792,0,0,0,0
gene-LOC112081793,0,0,0,0
gene-LOC112081794,0,0,0,0
gene-LOC112081795,0,0,0,0
gene-LOC112081797,0,0,0,0
gene-LOC112081799,0,0,0,0
gene-LOC112081800,0,0,0,0
gene-LOC112081801,0,0,0,0
gene-LOC112081804,0,0,0,0
gene-LOC112081808,0,0,0,0
gene-LOC112081837,5.963939,6.481512,3.511687,5.067551
gene-LOC112081838,1.655899,3.081133,3.630003,4.204845
gene-LOC112081839,0.055737,0,0,0.094257
gene-LOC112081840,0,0,0,0.363341
gene-LOC112081841,0.114599,0,0,0
gene-LOC112081842,0,3.634203,0,0
gene-LOC112081843,0,0,0,0
gene-LOC112081844,17.725505,27.409932,4.903882,4.601021
gene-LOC112081845,3.325833,2.158997,1.689672,2.865548
gene-LOC112081846,0,1.164049,0.818205,0.429602
gene-LOC112081847,11.687676,5.943522,6.113224,11.901674
gene-LOC112081848,6.11242,6.542435,6.084517,8.422947
gene-LOC112081849,5.507334,5.574913,6.05748,8.728218
gene-LOC112081850,0,0,0,2.287401
gene-LOC112081851,0.43413,0.519128,0.61418,0.678758
gene-LOC112081852,0,0,0,0
gene-LOC112081853,0,0,0,0
gene-LOC112081854,0,0,0,0
gene-LOC112081855,1.468478,1.581337,1.206859,0.974321
gene-LOC112081856,16.739861,15.690668,45.048577,46.750171
gene-LOC112081857,0,0.064656,0.667055,0.316828
gene-LOC112081858,0,0,0,0
gene-LOC112081859,0,0,0,0
gene-LOC112081860,0.154789,0.200084,0.068775,0.065597
gene-LOC112081861,0,0,0,0
gene-LOC112081862,0.195896,0,0,0
gene-LOC112081863,0.280556,0,0,0.350839
gene-LOC112081864,0,0,0,0
gene-LOC112081865,0,0,0,0
gene-LOC112081866,2.107541,1.145393,18.067074,9.78395
gene-LOC112081867,2.591979,2.674383,0.762841,1.08513
gene-LOC112081868,0,0,0,0
gene-LOC112081869,67.320545,73.223909,37.511634,49.302976
gene-LOC112081870,751.949197,912.560349,101.744868,74.900212
gene-LOC112081871,0,0,0,0
gene-LOC112081873,11.597194,16.581255,10.927902,9.684694
gene-LOC112081874,6.24434,9.454007,5.036738,5.353701
gene-LOC112081875,0,0,0,0
gene-LOC112081877,0.517091,0.08858,0,0.521787
gene-LOC112081878,0,0,0,0
gene-LOC112081880,0,0,0,0
gene-LOC112081881,10.339084,6.580548,5.440248,7.108128
gene-LOC112081882,0,0,0,0
gene-LOC112081883,0,0,0,0.076199
gene-LOC112081884,0.080509,0,0,0
gene-LOC112081885,0,0.273913,0,0.202577
gene-LOC112081886,0.121272,0.845674,1.188353,0.931577
gene-LOC112081887,2.4666,1.134039,9.018823,13.610116
gene-LOC112081888,0,0,0,0
gene-LOC112081889,0,0,0,0
gene-LOC112081890,1.33055,0.324521,6.491177,2.290617
gene-LOC112081891,0,0,0,0
gene-LOC112081892,0,0,0,0
gene-LOC112081893,11.041848,9.30757,32.031324,29.223905
gene-LOC112081894,0,0,0,0
gene-LOC112081895,0,0,0,0
gene-LOC112081896,15.421676,19.931972,7.393915,10.399815
gene-LOC112081897,0,0,0,0
gene-LOC112081898,4.137783,2.348078,1.378162,1.987217
gene-LOC112081899,628.106526,790.309367,161.809441,116.928781
gene-LOC112081900,2.001082,2.543872,1.531004,1.361743
gene-LOC112081901,2.140326,2.411269,1.18393,1.465905
gene-LOC112081902,0,0,0,0
gene-LOC112081903,1.906641,1.024467,2.106639,1.407258
gene-LOC112081904,122.110496,146.495631,51.104737,67.140577
gene-LOC112081906,5.590427,7.920706,7.608973,12.321798
gene-LOC112081907,5.236381,4.227748,4.476755,7.083642
gene-LOC112081908,34.996861,28.994302,29.981777,30.386404
gene-LOC112081909,2.680279,2.491189,0,1.314398
gene-LOC112081910,356.998719,337.070733,266.81596,242.096611
gene-LOC112081911,65.513649,48.49603,63.215287,45.073868
gene-LOC112081912,4.88201,3.661722,6.826772,8.044093
gene-LOC112081913,0,0,0,0
gene-LOC112081914,5.402324,5.705906,7.155666,7.264294
gene-LOC112081915,3.449614,2.122413,0.925977,2.95501
gene-LOC112081916,0,0,0,0
gene-LOC112081917,0,0,0,0
gene-LOC112081919,0,0.196612,0,0.193259
gene-LOC112081920,0,0,0,0
gene-LOC112081921,0,0,0,0
gene-LOC112081923,0,0,0,0
gene-LOC112081925,0.397446,0.507831,0,0
gene-LOC112081926,0,0,0,0
gene-LOC112081927,0,0.047928,0,0
gene-LOC112081928,0,0,0,0
gene-LOC112081929,0,0,0.080927,0
gene-LOC112081930,0,0,0,0
gene-LOC112081931,0.477607,0.202884,0.209492,0
gene-LOC112081932,0,0,0,0
gene-LOC112081933,0,0,0,0
gene-LOC112081935,0,0,0,0
gene-LOC112081937,0.224785,0,0,0.094326
gene-LOC112081938,0,0,0,0
gene-LOC112081939,0,0,0,0
gene-LOC112081940,0,0,0,0
gene-LOC112081941,0.237056,0,0,0
gene-LOC112081942,0,0,0,0
gene-LOC112081943,0,0,0,0
gene-LOC112081944,0,0,0,0.591189
gene-LOC112081945,0,0,0,0
gene-LOC112081946,0.551249,0.331085,0.342676,0.324137
gene-LOC112081947,0,0,0,0
gene-LOC112081948,0,0.097052,0,0
gene-LOC112081949,0,0,0,0.189036
gene-LOC112081950,0,0,0,0
gene-LOC112081951,1.126918,0.114069,1.213595,0.504993
gene-LOC112081952,0,0,0,0
gene-LOC112081953,0,0,0,0
gene-LOC112081954,0,0,0,0
gene-LOC112081955,0,0,0,0
gene-LOC112081956,0,0,0,0
gene-LOC112081957,0,0,0,0
gene-LOC112081958,0,0,0,0
gene-LOC112081959,0,0,0,0
gene-LOC112081960,0,0,0,0
gene-LOC112081961,0,0,0,0
gene-LOC112081962,0,0,0,0
gene-LOC112081963,0,0,0,0
gene-LOC112081964,0,0,0,0
gene-LOC112081965,0.067804,0,0.239911,0.073608
gene-LOC112081966,0,0,0,0
gene-LOC112081968,0.173949,0.161777,0.195404,0.329833
gene-LOC112081973,0,0,0,0
gene-LOC112081974,0,0,0,0
gene-LOC112081975,0,0,0,0
gene-LOC112081976,0,0,0,0
gene-LOC112081977,0,0,0,0
gene-LOC112081978,0,0,0,0
gene-LOC112081979,0,0,0,0
gene-LOC112081980,0,0,0,0
gene-LOC112081981,2.515225,3.487925,0.685309,3.582305
gene-LOC112081982,0,0.040472,0,0
gene-LOC112081983,0,0,0,0
gene-LOC112081984,0,0,0,0
gene-LOC112081985,0,0.041266,0.028841,0.054089
gene-LOC112081986,0.052403,0,0,0.026877
gene-LOC112081987,0,0,0,0
gene-LOC112081988,0,0,0,0
gene-LOC112081989,0,0,0,0
gene-LOC112081990,0,0,0,0
gene-LOC112081991,0.228871,0.294614,0,0.578419
gene-LOC112081992,0,0,0,0.213228
gene-LOC112081993,0.256189,0.46469,0,0.070478
gene-LOC112081994,0,0,0,0
gene-LOC112081996,0,0,0,0
gene-LOC112081997,0,0,0,0
gene-LOC112081998,0,0,0,0
gene-LOC112081999,0,0,0,0
gene-LOC112082001,0,0,0,0
gene-LOC112082002,0,0,0,0
gene-LOC112082003,0.535891,0.459618,0.789885,0.601673
gene-LOC112082004,0,0,0,0
gene-LOC112082005,0.363939,0.064396,0,0
gene-LOC112082006,0,0,0,0
gene-LOC112082007,0,0,0,0
gene-LOC112082008,0,0,0,0
gene-LOC112082009,0.04698,0.040104,0,0
gene-LOC112082010,0,0,0,0
gene-LOC112082011,0,0.149306,0,0
gene-LOC112082012,0,0,0,0
gene-LOC112082013,0,0.039702,0,0
gene-LOC112082014,0,0,0,0
gene-LOC112082015,0,0,0,0
gene-LOC112082016,0,0.180874,0,0.711466
gene-LOC112082017,0,0,0,0
gene-LOC112082018,0,0,0,0
gene-LOC112082019,0,0,0,0
gene-LOC112082020,0,0,0,0
gene-LOC112082022,0,0,0,0
gene-LOC112082023,0,0,0,0
gene-LOC112082024,0,0,0,0
gene-LOC112082025,0,0,0,0
gene-LOC112082027,0,0,0,0
gene-LOC112082028,0,0,0,0
gene-LOC112082029,0,0,0,0
gene-LOC112082031,0,0,0,0
gene-LOC112082032,0,0,0,0
gene-LOC112082034,0,0,0,0
gene-LOC112082035,0,0,0,0
gene-LOC112082036,0,0,0,0
gene-LOC112082037,2.050046,4.121929,4.373361,3.023998
gene-LOC112082038,1.986901,1.126498,0,4.126773
gene-LOC112082039,0,0,0,0
gene-LOC112082040,0,0,0,0
gene-LOC112082041,0,0,0,0
gene-LOC112082042,0,0.142698,0,0.14009
gene-LOC112082043,0,0.312028,0.325701,0.608642
gene-LOC112082044,0.042868,0.036898,0,0
gene-LOC112082045,0.073216,0.063665,0,0
gene-LOC112082046,0,0,0,0
gene-LOC112082047,0,0,0,0
gene-LOC112082048,0,0,0,0
gene-LOC112082049,0,0,0,0
gene-LOC112082050,0,0,0,0
gene-LOC112082051,0,0,0,0
gene-LOC112082052,0,0,0,0
gene-LOC112082053,0,0,0,0
gene-LOC112082054,0,0,0,0
gene-LOC112082056,0,0,0,0
gene-LOC112082057,0,0,0,0
gene-LOC112082058,0,0,0,0
gene-LOC112082059,0,0,0,0
gene-LOC112082060,0,0,0,0
gene-LOC112082061,0.240096,0.234281,0.151656,0
gene-LOC112082062,0.110692,0,0.292379,0
gene-LOC112082063,0,0,0,0
gene-LOC112082064,0,0,0,0
gene-LOC112082066,0.073657,0,0,0
gene-LOC112082067,0,0,0,0
gene-LOC112082070,0,0,0,0
gene-LOC112082071,0,0,0,0
gene-LOC112082072,0,0,0,0
gene-LOC112082073,0,0,0,0
gene-LOC112082074,0,0,0,0
gene-LOC112082075,0,0,0,0
gene-LOC112082076,0,0,0,0
gene-LOC112082077,0,0,0,0
gene-LOC112082078,0,0,0,0
gene-LOC112082079,0,0,0,0
gene-LOC112082080,0,0,0,0
gene-LOC112082081,0,0,0,0
gene-LOC112082082,0,0,0,0
gene-LOC112082083,0,0,0,0
gene-LOC112082084,0,0,0,0
gene-LOC112082086,0,0,0,0
gene-LOC112082087,0,0,0,0
gene-LOC112082088,0,0,0,0
gene-LOC112082089,0,0,0.167517,0
gene-LOC112082090,0,0,0,0
gene-LOC112082091,0,0,0,0
gene-LOC112082092,0.218445,0.322585,0.267298,0.285588
gene-LOC112082094,0,0,0,0
gene-LOC112082095,0,0,0,0
gene-LOC112082096,0,0,0,0
gene-LOC112082099,0,0,0,0
gene-LOC112082100,0,0,0,0
gene-LOC112082101,0.211565,1.0073,0.688455,0.707915
gene-LOC112082102,0,0,0,0
gene-LOC112082103,0,0,0,0
gene-LOC112082104,0,0,0,0
gene-LOC112082105,0,0,0.324048,0.302784
gene-LOC112082106,0,0,0,0
gene-LOC112082107,0,0,0,0
gene-LOC112082108,0,0,0,0
gene-LOC112082109,0,0,0,0.099512
gene-LOC112082110,0,0,0,0
gene-LOC112082111,0,0,0,0
gene-LOC112082112,0,0,0,0
gene-LOC112082113,0,0,0,0
gene-LOC112082114,0,0,0,0
gene-LOC112082115,0,0,0,0
gene-LOC112082116,0,0,0,0
gene-LOC112082117,0,0,0,0
gene-LOC112082118,0,0,0,0
gene-LOC112082119,0.483279,0.213744,0,1.675592
gene-LOC112082120,0,0,0,0
gene-LOC112082121,0.37639,0.389642,0.471447,0.462975
gene-LOC112082122,0,0,0,0
gene-LOC112082123,0,0,0,0
gene-LOC112082124,0,0,0,0
gene-LOC112082125,0,0,0,0
gene-LOC112082126,0,0,0,0
gene-LOC112082127,0,0,0,0
gene-LOC112082128,0,0,0,0
gene-LOC112082129,0,0,0,0
gene-LOC112082130,0,0,0,0
gene-LOC112082131,0.291871,0.262909,0,0
gene-LOC112082132,0,0,0,0
gene-LOC112082133,0,0.105903,0,0
gene-LOC112082134,0,0.290656,0,0.284769
gene-LOC112082135,0,0,0,0
gene-LOC112082136,0,0,0,0
gene-LOC112082137,0,0,0,0
gene-LOC112082138,0,0,0,0
gene-LOC112082140,0,0,0,0
gene-LOC112082141,0.137419,0.039267,0.04061,0
gene-LOC112082142,0,0,0,0
gene-LOC112082143,0,0,0,0
gene-LOC112082144,0,0,0,0
gene-LOC112082145,0,0,0,0
gene-LOC112082146,0,0,0,0
gene-LOC112082147,0,0,0,0
gene-LOC112082148,0,0,0,0
gene-LOC112082149,0,0,0,0
gene-LOC112082150,0,0,0,0
gene-LOC112082151,0.053146,0.033924,0.090796,0.032852
gene-LOC112082152,0,0,0,0
gene-LOC112082153,0,0,0,0
gene-LOC112082154,0,0,0,0
gene-LOC112082155,0,0,0,0
gene-LOC112082156,0,0,0,0
gene-LOC112082157,0,0,0,0
gene-LOC112082158,0,0,0,0
gene-LOC112082159,0,0,0,0
gene-LOC112082160,0,0,0,0
gene-LOC112082162,0.090014,0.154099,0.476778,0.301355
gene-LOC112082163,0,0,0,0
gene-LOC112082164,0,0,0,0
gene-LOC112082166,0,0,0,0
gene-LOC112082168,0,0,0,0
gene-LOC112082169,0,0,0,0
gene-LOC112082170,0,0,0,0
gene-LOC112082171,1.303188,0.284199,0,1.813768
gene-LOC112082172,332.763642,398.709895,498.219891,329.606959
gene-LOC112082173,0,0,0,0
gene-LOC112082175,2.970259,1.541855,0.684969,7.465851
gene-LOC112082176,2.221172,2.301702,1.37572,0.844791
gene-LOC112082177,2.157186,2.527341,2.27139,1.405677
gene-LOC112082178,0,0,0,0
gene-LOC112082179,166.203512,125.031638,124.109538,132.594612
gene-LOC112082180,0,0,0,0
gene-LOC112082181,11.428146,16.044664,24.242219,24.156843
gene-LOC112082182,0,0,0,0
gene-LOC112082183,1.340358,1.49649,5.102684,3.945888
gene-LOC112082184,32.477672,21.583392,35.525894,47.659093
gene-LOC112082185,0,0,0,0
gene-LOC112082187,12.061278,14.480861,11.199444,11.000804
gene-LOC112082188,0.32303,0,0,0
gene-LOC112082189,29.433269,26.403261,12.007571,21.010184
gene-LOC112082190,9.039995,9.973039,15.069371,13.458167
gene-LOC112082191,5.690687,8.199493,5.277774,5.677994
gene-LOC112082192,1.616917,1.560893,1.626206,2.800725
gene-LOC112082193,58.542027,45.551979,15.308541,49.719918
gene-LOC112082194,2.143076,0.563113,0.383321,1.11139
gene-LOC112082195,0,0,0.176198,0
gene-LOC112082196,0.10732,0.091704,0.277638,0.173934
gene-LOC112082197,7.821785,5.780656,32.869564,11.475965
gene-LOC112082198,0,0,0,0
gene-LOC112082199,88.375267,45.736862,565.65724,567.791053
gene-LOC112082200,5.249202,7.660057,0.928682,10.47491
gene-LOC112082201,0,0,0,0
gene-LOC112082202,32.901202,30.952519,10.621925,19.357701
gene-LOC112082203,1.53291,2.824295,3.264413,2.043791
gene-LOC112082204,0,0,0,0
gene-LOC112082205,0,0,0,0
gene-LOC112082206,22.841306,12.646892,3.030928,3.356446
gene-LOC112082207,0,0,0.081065,0
gene-LOC112082208,46.440734,14.69894,8.166606,70.400007
gene-LOC112082209,0.459866,0.442512,0.501112,0.435906
gene-LOC112082210,12.408681,11.564924,5.306768,4.469798
gene-LOC112082211,3.34764,2.386491,1.430202,2.430322
gene-LOC112082212,1.477755,1.551511,0.802148,3.265788
gene-LOC112082213,814.132047,746.694417,47.413489,27.456946
gene-LOC112082214,0,0,0,0
gene-LOC112082215,0,0,0,0.605568
gene-LOC112082217,0,0,0,0
gene-LOC112082218,0,0,0,0.163757
gene-LOC112082219,0,0,0.054759,0
gene-LOC112082220,1.324434,1.366464,0,1.570579
