ID,Leaf_ABA,Leaf_ABA,Root_ABA,Root_ABA,Leaf_Control,Leaf_Control,Root_Control,Root_Control
gene-LOC112081455,11.856192,18.138764,16.187381,15.003601,10.20131,12.293608,12.156674,20.513858
gene-LOC112081456,0.420991,1.599044,0.36853,0.279193,1.978663,4.631185,1.527715,1.379402
gene-LOC112081457,54.393238,57.766845,293.486929,259.826506,69.419082,81.723096,14.437664,133.696994
gene-LOC112081458,2.908957,2.649505,30.856105,21.201368,0.616658,1.109864,3.71916,5.030538
gene-LOC112081459,0,0,0,0,0,0,0,0
gene-LOC112081460,0,0,0,0,0,0,0,0.893472
gene-LOC112081461,0,0,0.132661,0,0,0,0,0
gene-LOC112081462,36.135121,40.038706,14.159478,15.542868,19.385703,18.38238,18.078811,11.096475
gene-LOC112081463,15.978115,15.013558,12.679233,13.415965,32.768145,31.819334,13.437082,18.026452
gene-LOC112081464,2.08711,3.262049,1.388416,1.727936,4.349182,2.378509,3.541636,2.893715
gene-LOC112081465,1.695003,2.495687,2.314092,2.572083,1.579789,1.76648,2.600027,2.676877
gene-LOC112081466,343.67559,275.696366,3.047123,3.494459,421.95394,589.444612,21.587407,14.610627
gene-LOC112081467,0,0.111154,0.963494,0.829083,0,0.107861,83.403551,67.967745
gene-LOC112081468,0,0,0,0,0,0,0,0
gene-LOC112081469,0,0.549127,0,0.579717,26.227614,24.405609,0,0
gene-LOC112081470,12.43587,20.156174,6.329582,2.659879,21.309936,22.314592,2.208278,3.922683
gene-LOC112081471,0,0.109836,0,0,0.218235,0.175131,0,0
gene-LOC112081472,5.576409,3.280664,8.537837,7.474188,6.547679,4.079558,2.035223,4.339081
gene-LOC112081473,0.318218,0.320055,0.292296,0.32895,0.313423,0.582324,0.405456,0.213419
gene-LOC112081474,0,0,0,0,0,0,0,4.445708
gene-LOC112081475,0,0,0,0,0,0,0,0
gene-LOC112081476,7.319036,11.945143,17.84846,15.043922,7.471213,8.573458,18.100989,30.638293
gene-LOC112081477,4.022009,1.687743,10.356639,11.422419,2.395588,0.933681,16.436725,58.120259
gene-LOC112081478,8.275127,16.955675,26.800202,16.663628,1.535851,0.745647,7.271367,1.593715
gene-LOC112081479,8.047999,7.199722,9.56198,10.364973,6.419693,6.49288,8.559715,13.382103
gene-LOC112081480,0.545304,0.883496,1.307561,0.446988,0.43123,0.425916,1.803774,1.245691
gene-LOC112081481,0.792467,0.734111,1.316626,0.90874,1.0181,1.26133,3.157819,1.589882
gene-LOC112081482,14.318254,27.511146,28.630739,21.603968,22.2121,28.338347,29.165463,42.922914
gene-LOC112081483,4.604206,2.630027,4.247483,5.156432,2.990868,4.35615,6.717813,9.749359
gene-LOC112081484,0.781723,0.437245,0.413298,0.852008,0,0,1.802997,0
gene-LOC112081486,0,0,0,0,0,0,0,0
gene-LOC112081487,0,0,0,0,0,0,0,0
gene-LOC112081488,0,0,0,0,0,0,0,0
gene-LOC112081489,0,0,0,0,0,0,0,0
gene-LOC112081490,18.21941,26.236361,6.17704,6.16504,152.70051,161.30586,22.025589,23.78926
gene-LOC112081491,0.320594,0.329302,0.158362,0,1.157281,0.966086,3.607533,2.465879
gene-LOC112081492,0,0,0,0,0,0,0,0
gene-LOC112081493,0,0,0,0,0,0,0,0
gene-LOC112081494,0,0,0,0,0,0,0,0
gene-LOC112081495,0,0,0,0,0,0,0,0
gene-LOC112081496,0,0,0,0,0,0,0,0
gene-LOC112081497,0,0,0,0,0,0,0,0
gene-LOC112081498,0,0,0,0,0,0,0,0
gene-LOC112081499,0,0,0,0,0,0,0,0
gene-LOC112081500,0,0,0,0,0,0,0,0
gene-LOC112081501,0,0,0,0,0,0,0,0
gene-LOC112081502,4.881015,3.632894,6.440953,7.751784,3.372101,3.529673,5.71273,9.792627
gene-LOC112081504,0.055313,0.053703,0,0,0.053931,0,0,0
gene-LOC112081506,0,0,0,0,0,0,0,0
gene-LOC112081507,0,0,0,0,0,0,0,0
gene-LOC112081508,0,0,0,0,0,0,0,0.041205
gene-LOC112081509,0,0,0,0,0,0,0,0
gene-LOC112081510,0,0,0,0,0,0,0,0
gene-LOC112081511,0,0,0,0,0,0,0,0
gene-LOC112081512,0,0,0,0,0,0,0,0
gene-LOC112081514,0,0,0,0,0,0,0,0
gene-LOC112081516,0.039265,0,0,0.04101,0,0,0,0
gene-LOC112081518,0,0,0,0,0,0,0,0
gene-LOC112081519,0,0,0,0,0,0,0,0
gene-LOC112081520,0,0,0,0,0,0,0,0
gene-LOC112081522,0,0,0,0,0,0,0,0
gene-LOC112081523,0,0,0,0,0,0,0,0
gene-LOC112081524,0,0,0,0,0,0,0,0
gene-LOC112081525,0,0,0,0,0,0,0,0
gene-LOC112081526,0,0,0,0,0,0,0,0
gene-LOC112081527,0,0,0,0,0,0,0,0
gene-LOC112081528,0,0.208083,0,0,0.82502,0.212119,0,0.205503
gene-LOC112081529,0,0,0.172754,0.193607,0.546813,0.176609,0,0
gene-LOC112081530,0,0,0,0,0,0,0,0
gene-LOC112081531,0,0,0.11938,0,0,0,0,0
gene-LOC112081532,0.25327,0.11971,0,0,0,0.186053,0,0
gene-LOC112081534,0,0,0,0,0,0,0,0
gene-LOC112081535,0,0.06436,0,0,0,0,0,0.104231
gene-LOC112081536,0,0,0,0,0,0,0,0
gene-LOC112081537,0,0,0,0,0,0,0,0
gene-LOC112081539,0,0,0,0,0,0,0,0
gene-LOC112081540,0,0,0,0,0,0,0,0
gene-LOC112081541,0,0,0,0,0,0,0,0
gene-LOC112081542,0,0,0,0,0,0,0,0
gene-LOC112081543,0,0,0,0,0,0,0,0
gene-LOC112081544,0,0.085551,0,0,0,0.078392,0,0
gene-LOC112081546,0,0,0,0,0,0,0,0
gene-LOC112081547,0,0,0,0,0,0,0,0
gene-LOC112081548,0,0,0,0.047494,0,0,0,0
gene-LOC112081549,7.360862,7.993805,3.047343,2.765809,0.83382,2.006463,0,0
gene-LOC112081550,0,0,0,0,0.134398,0,0,0
gene-LOC112081552,0,0,0.058506,0.066884,0.063971,0.061744,0,0
gene-LOC112081553,0,0,0,0,0,0,0,0
gene-LOC112081554,0.085774,0.042519,0.121953,0.135522,0,0,0,0.044788
gene-LOC112081555,0,0,0,0,0,0,0,0
gene-LOC112081556,0,0,0,0,0,0,0,0
gene-LOC112081557,0,0,0,0,0,0,0,0
gene-LOC112081558,0,0,0,0,0,0,0,0
gene-LOC112081559,0,0.259578,0,0,0.085869,0.24868,0,0
gene-LOC112081562,0,0,0,0,0,0,0,0
gene-LOC112081563,0,0,0,0,0,0,0,0
gene-LOC112081565,0,0,0,0,0,0,0,0
gene-LOC112081566,1.63006,0.532073,1.503767,0.561714,0,0.51408,2.238453,0.552262
gene-LOC112081567,0,0,0,0,0,0,0,0
gene-LOC112081568,0,0,0,0,0,0,0,0
gene-LOC112081569,3.400507,2.255122,0.999426,1.238741,2.238258,4.210329,1.945996,1.788879
gene-LOC112081574,0,0,0,0,0,0,0,0
gene-LOC112081576,0,0,0,0,0,0,0,0
gene-LOC112081578,0,0,0,0,0,0,0,0
gene-LOC112081579,0,0,0,0,0,0,0,0
gene-LOC112081580,0.218053,0.205239,0.37422,0,0,0.196912,0.637391,0.822575
gene-LOC112081581,0,0.070673,0.58481,0.295732,0,0,0,0.142639
gene-LOC112081582,0,0,0,0,0,0,0,0
gene-LOC112081583,0,0,0,0,0,0,0,0
gene-LOC112081584,1.295594,0.900854,3.200593,2.322817,1.800101,1.374827,2.041174,2.037034
gene-LOC112081585,0,0,0,0,0,0,0,0
gene-LOC112081586,0,0,0,0,0,0,0,0
gene-LOC112081587,0,0,0,0,0,0,0,0
gene-LOC112081588,0,0,0,0,0,0,0,0
gene-LOC112081589,0,0,0,0,0,0,0,0
gene-LOC112081590,0.126051,0,0,0,0,0,0,0
gene-LOC112081591,0.666285,0.130973,0.373373,0.416799,0.392743,0.25431,0.968377,0.274047
gene-LOC112081592,0.655026,0,0,0,0,0.20246,0,0
gene-LOC112081593,0,0,0,0,0,0,0,0
gene-LOC112081594,1.271552,1.307893,0.560712,0.526871,2.027283,3.156469,0.190374,1.140552
gene-LOC112081595,0,0,0.25328,0,0,0.128816,0,0
gene-LOC112081597,0,0,0,0,0,0,0,0
gene-LOC112081598,0,0,0,0,0,0,0,0
gene-LOC112081599,0,0,0,0.025292,0,0.047281,0,0
gene-LOC112081600,60.635674,49.530694,104.033129,48.432484,48.881559,92.573348,1150.774282,987.74772
gene-LOC112081601,0,0,0.207215,0.233224,0,0,0.464295,0
gene-LOC112081602,0.346475,0,0,0,0,0,0,0
gene-LOC112081604,1.713458,4.240779,2.397094,7.163238,0,0.819474,12.488794,4.401691
gene-LOC112081605,0,0,0,0,0,0,0,0
gene-LOC112081606,0,0.094627,0,0,0,0.090602,0,0
gene-LOC112081607,0.66778,0.43548,1.251738,1.35647,0.689344,0.962906,0.882134,1.386409
gene-LOC112081608,0,0,0,0,0,0,0,0
gene-LOC112081609,0,0,0,0,0,0,0,0
gene-LOC112081610,0,0,0,0,0,0,0,0
gene-LOC112081611,0,0,0,0,0,0.950939,0,0
gene-LOC112081613,0,0,0,0,0,0,0,0
gene-LOC112081615,0,0,0,0,0,0,0,0
gene-LOC112081617,0,0,0.119318,0,0,0,0,0
gene-LOC112081618,0,0,0,0,0,0,0,0
gene-LOC112081619,0,0,0,0,0.386475,0,1.224849,0
gene-LOC112081620,2.976281,4.814127,2.111103,0.305841,4.170819,4.030646,1.824632,2.035054
gene-LOC112081621,0,0,0,0,0,0,0,0
gene-LOC112081622,0,0,0,0,0,0,0,0
gene-LOC112081624,12.14831,18.813681,8.608582,5.803938,27.445335,30.642267,9.321097,6.690521
gene-LOC112081625,0,0,0,0,0,0,0,0
gene-LOC112081626,1.4169,2.587341,4.315327,3.926036,3.089976,1.870639,5.177043,3.059855
gene-LOC112081627,19.60519,15.542712,14.359391,14.530477,14.53575,13.847321,17.276329,17.268415
gene-LOC112081628,0,0,0,0,0,0,0,0
gene-LOC112081629,5.383373,8.56637,6.207852,6.956601,5.245516,5.730013,6.237532,7.523499
gene-LOC112081630,2.464223,2.81524,4.167718,2.547489,4.402053,3.108614,6.767904,3.339499
gene-LOC112081631,0,0,0,0,0,0,0,0
gene-LOC112081632,0.146673,0.412157,0.49936,1.427316,0.136318,0.395359,2.839051,1.921854
gene-LOC112081633,2.915997,2.855458,2.884812,3.017111,0,1.379447,7.212149,8.86852
gene-LOC112081634,1.166548,1.729884,3.007155,2.653327,1.341251,1.117107,0.202884,0.606026
gene-LOC112081635,0,0,0,0,0,0,0,0
gene-LOC112081636,0,0,0,0,0,0,0,0
gene-LOC112081637,0,0,0,0,0,0,0.102431,0
gene-LOC112081638,1.14515,1.205472,2.189135,1.806913,2.390951,2.446668,3.874741,4.825015
gene-LOC112081639,0,0,0,0,0,0,0,0
gene-LOC112081640,0,0,0,0,0,0,0,0
gene-LOC112081641,3.735511,3.671168,1.743221,1.94657,1.832256,1.778344,0,0
gene-LOC112081642,3.907229,3.852913,100.877712,77.696979,0,0,6.10188,6.059678
gene-LOC112081643,3229.460624,904.023334,2002.502737,4042.98802,390.522173,488.298804,5077.780705,2873.130238
gene-LOC112081644,0,0,0,0,0,0,0,0
gene-LOC112081645,260.962683,432.203722,790.598348,740.297894,343.672562,261.562786,768.737648,868.070428
gene-LOC112081646,0,0,0,0,0,0,0,0
gene-LOC112081647,0.119811,0.322541,0.526835,0.61379,0.248195,0.171735,0.79077,0.958362
gene-LOC112081648,0,0,0,1.205812,0,0,0,0
gene-LOC112081649,0,0,0,0,0,0,0,25.909627
gene-LOC112081650,0,0,20.175542,0,0,0,0,0
gene-LOC112081651,0,0,0,0,0,0,0,0
gene-LOC112081655,23.75905,91.359013,0,56.016072,52.390291,55.464511,34.735779,171.342709
gene-LOC112081656,0,0,0,0,0,0,0,0
gene-LOC112081659,0,0,0,0,17.200569,0,0,18.589698
gene-LOC112081661,233.279762,199.882062,699.418804,361.743507,85.239744,82.766849,330.358331,296.380502
gene-LOC112081664,0,0,0,0,0,0,0,0
gene-LOC112081665,0,0,0,0,0,0,0,0
gene-LOC112081666,0,0,0,45.217938,0,0,0,0
gene-LOC112081668,0,0,0,0,0,0,0,0
gene-LOC112081669,0,0,0,0,0,0,0,0
gene-LOC112081670,0,0,0,0,0,0,0,0
gene-LOC112081672,0,0,0,0,0,0,0,0
gene-LOC112081673,0,0,0,0,0,0,0,0
gene-LOC112081675,0,0,0,0,0,0,0,0
gene-LOC112081676,0,0,0,0,0,0,0,0
gene-LOC112081677,0,0,60.581311,36.416424,0,0,0,0
gene-LOC112081678,0,0,0,0,0,0,0,0
gene-LOC112081683,0,0,0,0,0,0,0,0
gene-LOC112081688,0,0,0,0,0,0,0,0
gene-LOC112081695,0,0,0,0,0,0,0,0
gene-LOC112081697,0,0,0,0,0,0,0,0
gene-LOC112081698,0,0,0,0,0,0,0,0
gene-LOC112081699,0,0,12.105631,0,0,0,0,0
gene-LOC112081701,0,0,0,0,0,0,0,0
gene-LOC112081703,0,0,0,0,0,0,0,0
gene-LOC112081704,0,0,0,0,0,0,0,0
gene-LOC112081706,0,0,0,0,0,0,0,0
gene-LOC112081707,0,0,0,0,0,0,0,0
gene-LOC112081708,0,0,0,0,0,0,0,0
gene-LOC112081711,0,0,0,0,0,0,0,0
gene-LOC112081712,0,0,0,0,0,0,0,0
gene-LOC112081713,0,0,0,0,0,0,0,0
gene-LOC112081715,0,0,0,0,0,0,0,0
gene-LOC112081716,0,0,0,0,0,0,0,0
gene-LOC112081717,0,0,0,0,0,0,0,0
gene-LOC112081718,0,0,0,0,0,0,0,0
gene-LOC112081720,0,0,0,0,0,0,0,0
gene-LOC112081722,0,0,0,0,0,0,0,0
gene-LOC112081723,0,0,0,0,0,0,0,0
gene-LOC112081727,0,0,0,0,0,0,0,0
gene-LOC112081729,0,0,0,0,0,0,0,0
gene-LOC112081730,0,0,0,0,0,0,0,0
gene-LOC112081731,0,0,0,0,0,0,0,0
gene-LOC112081733,0,0,0,0,0,0,0,0
gene-LOC112081734,0,0,0,0,0,0,0,0
gene-LOC112081735,0,0,0,0,0,0,0,0
gene-LOC112081737,0,0,0,0,0,0,0,0
gene-LOC112081738,0,0,0,0,0,0,0,0
gene-LOC112081739,0,0,0,0,0,0,0,0
gene-LOC112081740,0,0,0,0,0,0,0,0
gene-LOC112081742,0,0,0,0,0,0,0,0
gene-LOC112081743,0,0,12.105631,0,0,0,0,0
gene-LOC112081744,0,0,0,0,0,0,0,0
gene-LOC112081747,0,0,0,0,0,0,0,0
gene-LOC112081748,0,0,0,0,0,0,0,0
gene-LOC112081749,0,0,0,0,0,0,0,0
gene-LOC112081750,0,0,0,0,0,0,0,0
gene-LOC112081751,0,0,0,0,0,0,0,0
gene-LOC112081752,0,0,0,0,0,0,0,0
gene-LOC112081753,29.15997,0,0,0,0,0,0,0
gene-LOC112081754,0,0,0,0,0,0,0,0
gene-LOC112081755,495.719495,371.209544,1049.128205,1055.08523,170.479488,220.711598,870.944691,859.503455
gene-LOC112081756,0,0,0,0,28.413248,0,0,0
gene-LOC112081757,0,0,26.900723,30.145292,28.413248,0,30.032576,0
gene-LOC112081758,29.15997,28.55458,80.70217,0,56.826496,0,60.065151,59.2761
gene-LOC112081759,0,0,0,0,0,0,0,0
gene-LOC112081760,0,0,0,0,0,0,0,0
gene-LOC112081761,0,0,0,0,0,0,0,0
gene-LOC112081762,0,0,0,0,0,0,0,0
gene-LOC112081763,0,0,0,0,0,0,0,0
gene-LOC112081764,0,0,80.70217,0,0,0,0,22.228538
gene-LOC112081765,0,0,0,0,0,0,0,0
gene-LOC112081767,0,0,0,0,0,0,0,0
gene-LOC112081768,29.15997,0,26.900723,60.290585,0,27.58895,0,0
gene-LOC112081769,0,0,0,0,0,0,0,0
gene-LOC112081770,0,0,26.900723,0,0,0,0,0
gene-LOC112081771,0,0,0,0,0,0,0,0
gene-LOC112081775,0,0,0,9.159814,0,0,0,0
gene-LOC112081779,0,0,0,9.159814,0,0,0,0
gene-LOC112081781,0,0,0,9.159814,0,0,0,0
gene-LOC112081782,0,0,0,0,0,0,0,0
gene-LOC112081784,0,0,0,0,0,0,0,0
gene-LOC112081785,0,0,0,0,0,0,0,0
gene-LOC112081786,0,0,0,0,0,0,0,0
gene-LOC112081788,0,0,0,0,0,0,0,0
gene-LOC112081789,0,0,0,0,0,0,0,0
gene-LOC112081790,0,0,0,0,0,0,0,11.114269
gene-LOC112081791,0,0,0,0,0,0,0,0
gene-LOC112081792,0,0,0,0,0,0,0,0
gene-LOC112081793,0,0,0,0,0,0,0,11.114269
gene-LOC112081794,0,0,0,0,0,0,0,0
gene-LOC112081795,0,0,0,0,0,0,0,0
gene-LOC112081797,0,0,0,0,0,0,0,0
gene-LOC112081799,0,0,0,0,0,0,0,0
gene-LOC112081800,0,0,0,0,0,0,0,0
gene-LOC112081801,0,0,0,0,0,0,0,0
gene-LOC112081804,0,0,0,0,0,0,0,0
gene-LOC112081808,0,0,0,0,0,0,0,0
gene-LOC112081837,8.066431,5.686632,8.167919,5.436591,4.941141,4.072977,5.023686,7.630325
gene-LOC112081838,6.596353,8.944781,8.549474,8.288212,13.432726,7.941231,2.298996,2.861894
gene-LOC112081839,0.130959,0.060421,0,0,0,0.058229,0,0.060687
gene-LOC112081840,0,0,0,0,0,0,0,0
gene-LOC112081841,0,0,0,0,0,0,0,0
gene-LOC112081842,0,12.237677,0,0,0,23.647671,0,0
gene-LOC112081843,2.082855,2.039613,0,0,0,0,0,0
gene-LOC112081844,4.932744,4.668229,14.473512,13.578617,5.538833,7.190263,34.269672,29.511515
gene-LOC112081845,2.91819,3.442736,3.395033,2.974804,2.334989,2.153034,1.536341,2.222322
gene-LOC112081846,2.431999,0.599104,0.095445,0.212048,0.967297,0.685293,0.251818,0.089054
gene-LOC112081847,10.626235,12.899474,7.430134,6.623078,9.182208,10.606908,11.111812,14.198026
gene-LOC112081848,5.040425,5.838376,41.024016,40.390919,3.068449,3.766863,30.193662,22.936516
gene-LOC112081849,14.502204,12.291815,8.834892,11.130263,8.097809,8.386564,11.350892,11.259697
gene-LOC112081850,0,0,0,0,0,0,0,0
gene-LOC112081851,1.21406,1.664356,0.326566,0.477005,1.521411,1.271495,0.69375,0.358758
gene-LOC112081852,0,0,0,0,0,0,0,0
gene-LOC112081853,0,0,0.23704,0.559238,0,0,6.77793,6.038801
gene-LOC112081854,0,0,0,0,0,0,0,0
gene-LOC112081855,0.162397,0.770821,2.289549,2.04758,0.645404,1.076021,2.258655,2.458209
gene-LOC112081856,35.459386,39.859516,9.388167,10.674892,53.270152,51.064894,14.274332,13.445881
gene-LOC112081857,0.822157,0.781615,0,0,0.345261,0,0.090976,0
gene-LOC112081858,0,0,7.336561,0,0,0,0,0
gene-LOC112081859,0,0,0,0,0,0,0,0
gene-LOC112081860,0.184233,0.086791,0,0,0,0,0,0
gene-LOC112081861,0,0,0,0,0,0,0,0
gene-LOC112081862,0,0,0,0,0,0,0,0
gene-LOC112081863,0,0,0,0,0,0,0,0
gene-LOC112081864,0,0,0,0,0,0,0,0
gene-LOC112081865,0.078776,0,0,0,0,0,0,0
gene-LOC112081866,9.008579,12.58108,1073.771775,1446.913738,1.023998,1.237388,370.227261,160.399002
gene-LOC112081867,0.838542,1.085395,1.409507,2.302458,1.218797,0.524131,2.871041,3.943881
gene-LOC112081868,0,0,0,0,0,0,0.071355,0.070786
gene-LOC112081869,11.385263,19.429694,31.576262,26.304685,18.279232,16.850679,39.74923,35.909524
gene-LOC112081870,3.736135,1.747327,3.194987,3.667433,4.302365,6.910385,9.657553,7.32872
gene-LOC112081871,0,0.102668,0,0,0,0,0,0
gene-LOC112081873,2.006504,3.163504,1.579371,1.772141,2.899916,2.982127,4.356698,4.439744
gene-LOC112081874,1.142229,0.7803,0.737227,0.582743,0.889014,1.277894,2.348276,1.390885
gene-LOC112081875,0,0,0,0,0,0,0,0
gene-LOC112081877,0,0,0.116465,0,0,0,0.261867,0
gene-LOC112081878,0,0,0,0,0,0,0,0
gene-LOC112081880,0,0,0,0,0,0,0,0
gene-LOC112081881,9.230867,14.925333,3.575031,1.727525,15.06933,12.488349,0.620035,1.391725
gene-LOC112081882,0,0,0,0,0,0,0,0
gene-LOC112081883,0,0,0.104403,0,0,0,0,0.114591
gene-LOC112081884,0,0,0,0,0,0,0,0
gene-LOC112081885,0,0,0.557293,0,0,0,0,0
gene-LOC112081886,1.265489,1.34259,0,0,4.091081,2.495555,0,0
gene-LOC112081887,8.427063,8.627532,9.026355,8.026271,5.306839,7.12582,2.663575,3.401704
gene-LOC112081888,0,0,0,0,0,0,0,0
gene-LOC112081889,0,0,0,0,0,0,0,0.248137
gene-LOC112081890,0.147482,0,0.289634,0,0.151297,0,0.31483,0
gene-LOC112081891,0,0,0,0,0,0,0,0
gene-LOC112081892,0.216872,0,0.126687,0.489986,0,0.31435,0.504394,0.140969
gene-LOC112081893,6.183832,1.957821,14.662814,15.735339,2.606121,3.315053,12.224423,22.233734
gene-LOC112081894,0,0,0,0,0,0,0,0
gene-LOC112081895,0,0,0,0,0,0,0,0
gene-LOC112081896,11.638958,22.059332,14.893533,14.361062,28.169358,31.970028,41.375351,43.884667
gene-LOC112081897,0,0,0,0,0,0,0,0
gene-LOC112081898,0.973543,5.140911,6.003791,5.364146,1.541237,1.674749,5.369558,10.125566
gene-LOC112081899,865.051527,820.581269,198.20701,174.282013,687.996144,1030.111892,261.392048,142.663059
gene-LOC112081900,1.601387,1.41581,1.571206,0.954,0.576741,0.556389,2.508522,2.186574
gene-LOC112081901,0.345891,1.150639,0.38863,0.516587,1.128463,1.260936,2.547691,1.496806
gene-LOC112081902,0,0,0,0,0,0.067352,0,0
gene-LOC112081903,4.217725,2.760786,1.124803,3.522204,4.268751,4.710172,3.823649,1.235728
gene-LOC112081904,100.653738,103.695031,94.872591,96.629884,97.40573,99.230676,121.65052,110.51866
gene-LOC112081906,25.199974,19.388913,10.295339,5.954626,16.486699,19.414446,12.977039,6.586233
gene-LOC112081907,4.441529,3.760402,1.186264,1.132431,6.718941,4.772365,1.962066,1.802801
gene-LOC112081908,28.670936,33.703111,45.082563,39.359897,19.482788,20.808408,33.049381,37.23879
gene-LOC112081909,0,0,7.463784,8.364012,0,0,5.207961,6.167456
gene-LOC112081910,157.900061,154.560057,189.526981,178.614959,69.123503,53.284944,130.638561,145.872038
gene-LOC112081911,14.216878,19.572633,34.653985,34.518764,21.464133,22.29813,38.749535,50.11771
gene-LOC112081912,3.267054,9.127088,6.803472,3.849398,5.967501,6.505956,10.394326,8.527293
gene-LOC112081913,0,0,0,0,0,0,0,0
gene-LOC112081914,6.670791,8.697117,6.640031,8.230307,6.147203,8.335597,7.94179,7.273865
gene-LOC112081915,1.27905,2.009635,0.615019,0.401909,3.307452,1.946677,1.999059,1.804612
gene-LOC112081916,0,0,0,0,0,0,0,0
gene-LOC112081917,0,0,0,0,0,0,0,0.201084
gene-LOC112081919,0,0,0,0,0,0,0,0
gene-LOC112081920,0,0,0,0,0,0,0,0
gene-LOC112081921,0,0,0,0,0,0,0,0
gene-LOC112081923,0,0,0,0,0,0,0,0
gene-LOC112081925,0,0,0,0,0,0,0,0
gene-LOC112081926,0,0,0,0,0,0,0,0
gene-LOC112081927,0.039368,0,0,0,0.039765,0,0,0
gene-LOC112081928,0.627403,0,0,0,0,0.484493,0,0
gene-LOC112081929,0,0,0,0,0,0,0,0.106681
gene-LOC112081930,0,0,0,0,0,0,0,0
gene-LOC112081931,0,0,0,0,0,0,0,0.387839
gene-LOC112081932,0,0,0,0,0,0,0,0
gene-LOC112081933,0,0,0,0,0,0,0,0
gene-LOC112081935,0,0,0,0,0,0,0,0
gene-LOC112081937,0,0,0,0,0,0,0,0
gene-LOC112081938,0,0,0,0,0,0,0,0
gene-LOC112081939,0,0.043466,0.083868,0,0,0,0.046034,0.092485
gene-LOC112081940,0,0,0,0,0,0,0,0
gene-LOC112081941,0,0.088506,0.163133,0,0,0,0,0
gene-LOC112081942,0,0,0,0,0,0,0,0
gene-LOC112081943,0,0,0.347367,0,0,0,0.768811,0
gene-LOC112081944,0,0,0,0,0,0,0,0
gene-LOC112081945,0,0,0,0,0,0,0,0
gene-LOC112081946,0.476987,0.303073,1.16759,0.843349,0,0.196196,0.106833,0.634387
gene-LOC112081947,0,0,0,0,0,0,0,0
gene-LOC112081948,0,0,0,0,0,0,0,0
gene-LOC112081949,0,0,0,0,0,0.286251,0,0.305661
gene-LOC112081950,0,0,0,0,0,0,0,0
gene-LOC112081951,4.707694,0.94424,0.85052,2.438613,1.018919,1.59864,1.547448,1.574717
gene-LOC112081952,0,0,0,0,0,0,0,0
gene-LOC112081953,0,0,0,0,0,0,0,0
gene-LOC112081954,0,0,0,0,0,0,0,0
